Z,N,A,BindingEnergy_MeV_per_nucleon,HalfLife_seconds,MassExcess_keV,OctonionicAnomalyIndex,IsMagic
100,63,163,3.081,1.550744632913622e-09,-50989.6,0.336,0
112,28,140,0.0,2.1252254544914096e-15,-16306.3,0.2935,1
25,9,34,1.316,3.097741490169869e+19,-59383.5,0.5229,0
63,85,148,7.879,14674686372042.334,-63882.9,0.2238,0
105,0,105,0.0,9918134164.943712,-11769.4,0.6333,0
53,82,135,8.501,7.832926831027185e-11,-71352.4,0.0684,1
51,3,54,0.0,53104.291416377135,-72492.8,0.5107,0
26,161,187,0.0,0.11179641355912735,-60358.2,0.5116,0
65,53,118,6.741,0.15916174088386734,-23158.2,0.201,0
14,65,79,1.319,1591426922270.0896,-45330.7,0.546,0
98,37,135,0.0,155.82040962113948,-24520.1,0.4146,0
38,78,116,7.34,7.272961571100417e-05,-30369.1,0.2069,0
5,28,33,0.0,0.02319691598353689,-51111.0,0.4089,1
77,106,183,8.036,1534.607720836843,-40298.1,0.0397,0
23,79,102,3.767,6.709518164047388e-07,-40246.5,0.3279,0
93,31,124,0.0,7.812586666061002e-14,-60605.2,0.3604,0
61,21,82,0.0,3.7221548939393065e-06,-53830.7,0.4946,0
73,25,98,0.0,947143877731.0216,-63994.5,0.4975,0
94,62,156,3.971,29.082105092268296,-49287.3,0.2326,0
28,77,105,5.744,0.031724051434064836,-32972.0,0.1631,1
111,22,133,0.0,1.9358890066016903e-16,-27608.5,0.5269,0
15,118,133,0.0,1.2341459551728717e-05,-62931.5,0.4283,0
44,24,68,4.416,14591258.978896936,-31788.7,0.2934,0
111,85,196,4.958,2976.0808191375822,-58810.1,0.2848,0
83,41,124,1.251,686577.6364514356,-77656.0,0.2719,0
109,69,178,3.186,17021.301883801723,-57228.5,0.2664,0
70,69,139,7.205,2.9018901079015566e-13,-59742.5,0.0506,0
55,136,191,6.318,1.6193839346129435e-17,-100055.2,0.2711,0
36,151,187,2.884,6.009209304375202e+18,-68151.3,0.5231,0
113,50,163,0.0,6830601137822.965,-44280.4,0.5014,1
26,172,198,0.0,8.854610380433576e-08,-38588.0,0.4852,0
113,11,124,0.0,3.921687551020829e-16,-80485.8,0.5367,0
37,125,162,4.471,20.117652496428548,-74220.3,0.3161,0
10,4,14,1.937,3.4276685437063715e-18,-62039.4,0.3735,0
101,72,173,4.462,0.07295373679853998,-21168.6,0.1129,0
49,68,117,8.132,16779395529748.094,-46605.4,0.2217,0
76,98,174,7.937,952.6305990609937,-53113.5,0.1279,0
105,13,118,0.0,958264140934.6421,-58848.6,0.5967,0
83,77,160,6.071,1224677199808742.2,-42784.4,0.2996,0
39,103,142,5.991,1.1961266784152091e-05,-87415.8,0.2345,0
23,62,85,5.254,9615744850090884.0,-49678.9,0.4322,0
104,50,154,0.0,51.7573967624999,-87347.0,0.2799,1
51,41,92,7.102,63519.963101705696,-58305.8,0.2091,0
36,156,192,2.759,1.1667966923556135e-14,-71827.8,0.3353,0
55,32,87,4.453,31502674770.835392,-59553.1,0.2917,0
38,140,178,4.153,2.662376542716663e-16,-24260.5,0.3074,0
5,156,161,0.0,633084180.9829283,-68443.3,0.6667,0
36,25,61,6.821,1.1802183324035068e-10,-71167.7,0.1269,0
74,103,177,7.445,0.03021566422957598,-20079.1,0.1428,0
89,96,185,7.978,5.30160482497823e-20,-14356.7,0.1136,0
37,71,108,8.119,9.4932471772245e-06,-36551.5,0.1327,0
36,56,92,8.287,1.931330087202768e-07,-71092.7,0.0946,0
15,148,163,0.0,1.6718308503733758e-12,-63808.0,0.5186,0
35,62,97,8.44,0.0003803499540684733,-81115.0,0.0067,0
91,16,107,0.0,3.2357764893366976e+16,-48346.9,0.6077,0
52,87,139,7.649,2.8769137724721147e-08,-64366.1,0.2009,0
26,155,181,0.328,1.0511207930885392e+19,-79694.0,0.713,0
86,91,177,6.715,25.28068034468341,-61566.3,0.0744,0
96,12,108,0.0,980123682257.6097,-88225.1,0.5509,0
49,29,78,4.21,29012992897575.496,-83014.7,0.3694,0
115,46,161,0.0,0.17519347841573468,-11005.3,0.4587,0
4,128,132,0.0,2.3687130483394107e-07,-47805.3,0.5226,0
10,109,119,0.0,1.4363405606498128e+19,-47499.1,0.7044,0
67,71,138,7.093,1.4599678066551656e-16,-60490.4,0.1256,0
97,91,188,6.239,5.3319692972533714e-11,-54584.3,0.1565,0
107,15,122,0.0,7.715093340976003e-05,-71621.3,0.507,0
95,54,149,1.926,5091766074037933.0,-14706.3,0.3814,0
106,1,107,0.0,3.3294192622617574e-06,-26295.8,0.5109,0
9,52,61,0.0,35013196924.875046,-51934.3,0.5891,0
96,80,176,5.667,0.24611307464592386,-15971.4,0.1564,0
66,24,90,0.0,24957982276508.36,-58362.9,0.4914,0
109,86,195,4.919,21249771.177117303,-47587.1,0.2966,0
42,99,141,6.541,0.00016215245231122844,-50067.0,0.3165,0
117,26,143,0.0,1.001718452512218e+16,-44879.4,0.61,0
12,52,64,1.232,5.710948072591257,-75591.5,0.3989,0
36,114,150,4.988,6.515749618235918e-11,-80480.3,0.2552,0
36,112,148,5.272,9.381491346512365e+17,-19980.6,0.4477,0
22,68,90,4.778,0.22397403665167187,-44044.8,0.2118,0
83,98,181,7.667,1.6197668591350684e+18,-45346.5,0.2598,0
66,72,138,7.546,1.0127710286937137e-17,-50699.8,0.1839,0
43,103,146,6.222,5808884040270.321,-58007.6,0.3624,0
94,101,195,7.322,4066.5552272676778,-64542.7,0.1127,0
49,16,65,0.0,2.5428289870856105e-13,-37586.6,0.4555,0
8,148,156,0.0,22984434423.107155,-33246.1,0.6153,1
72,24,96,0.0,53334528.27672023,-35310.9,0.4652,0
32,9,41,0.0,3392.7376540190357,-89049.7,0.4308,0
79,116,195,7.618,4.0858352402635792e-16,-37685.8,0.2055,0
95,93,188,6.512,1.5678502726576338e-18,-22867.3,0.0,0
103,16,119,0.0,267.3546611523941,-21719.2,0.5385,0
43,107,150,6.461,789.0606344331774,-46491.6,0.3256,0
86,24,110,0.0,0.0011821763482644603,-15728.5,0.4082,0
99,41,140,0.0,4.1082090377875685e+19,-37181.9,0.5128,0
39,45,84,8.918,0.00011946386033867788,-63668.6,0.1882,0
56,120,176,7.093,53819115324.729904,-83636.4,0.194,0
5,64,69,0.0,1.5306866892885887e-06,-55635.7,0.4562,0
62,36,98,3.82,4.827558947107466e-19,-88673.6,0.1843,0
88,67,155,5.616,6.155748836239149e+17,-54279.8,0.4148,0
25,51,76,7.179,3.976091584709254e-18,-27236.6,0.1765,0
54,116,170,7.167,2.9463036044133444e-19,-60022.8,0.2259,0
87,48,135,2.844,5.3754480252055785,-37371.1,0.4022,0
106,34,140,0.0,1.4316480088872497e-14,-29029.4,0.3767,0
111,88,199,4.969,5219.121336742805,-66802.2,0.2104,0
105,55,160,0.917,3547506458200815.5,-57754.0,0.4672,0
5,138,143,0.0,3.0162712629946824e-17,-84970.9,0.4662,0
72,122,194,7.796,1.7452137914130712e-17,-14108.8,0.1888,0
69,80,149,7.593,2.8885577160537876e-18,-49134.6,0.1549,0
115,57,172,0.559,56.38405680020211,-33590.4,0.3724,0
88,18,106,0.0,532638018367958.94,-62757.1,0.5349,0
48,12,60,0.0,16055760.098982684,-32851.1,0.5532,0
7,132,139,0.0,1717237516545538.8,-53342.4,0.6414,0
107,52,159,0.0,5232159379223.154,-40100.9,0.4506,0
39,12,51,0.0,47541.92198380443,-49507.2,0.4484,0
95,97,192,7.001,156248481750.99152,-6734.9,0.1948,0
74,104,178,7.868,3.308873425276314e+18,-25820.4,0.1925,0
94,36,130,0.0,1.0928050112417711e-08,-46118.2,0.3657,0
10,117,127,0.0,6.844193478583678e-07,-59602.6,0.5091,0
50,13,63,0.0,21405621269.092857,-42455.8,0.4471,1
51,57,108,7.664,1.0994593927306238e-20,-52259.8,0.0351,0
4,98,102,0.0,619986096017.3076,-53554.8,0.5639,0
2,174,176,0.0,16594802.304715721,-75606.1,0.591,1
81,107,188,7.258,6.75631076883489e-08,-61333.4,0.1773,0
35,63,98,8.259,530777542850638.25,-39951.6,0.3487,0
108,79,187,3.885,1.4062093169175727e-12,-46915.1,0.2915,0
71,92,163,7.272,1.7774406461176836e-15,-25016.0,0.1516,0
25,16,41,5.745,217.02357002756474,-37876.7,0.177,0
86,1,87,0.0,798663846549.7245,-58923.7,0.5379,0
72,20,92,0.0,0.15759897503923792,-63763.2,0.2908,1
45,32,77,6.634,1.2762787007485181e+18,-44840.1,0.3125,0
51,87,138,7.979,0.19690432796978752,-49047.9,0.1211,0
40,159,199,3.038,4.4616979850559046e+17,-48749.9,0.4552,0
105,76,181,3.86,1.2550338878368207e+19,-72146.4,0.3871,0
15,105,120,0.0,5.0038385698929204e-14,-44489.8,0.4351,0
67,122,189,7.705,230367271.25495473,-62938.7,0.2485,0
62,83,145,8.425,3.784492960197994e-07,-47709.3,0.1537,0
58,21,79,0.0,11.379061311354437,-63783.8,0.3802,0
118,11,129,0.0,7.658246840415528e-11,-70631.5,0.4724,0
53,31,84,5.468,586234172.9733982,-51932.6,0.2747,0
74,114,188,7.966,16185633.315414933,-55147.5,0.1075,0
94,84,178,6.458,0.0010464858921616531,-32536.8,0.0621,0
20,151,171,0.0,53.95366294639371,1871.4,0.4635,1
117,65,182,1.596,1586257.0061269056,-41213.9,0.2829,0
18,39,57,6.349,27537375790789.53,-35014.0,0.2844,0
100,93,193,6.032,7.174700252653816e+18,-63432.5,0.2845,0
109,40,149,0.0,7.74895209658999e-11,-53134.6,0.442,0
103,88,191,5.383,1215989.4898438419,-44489.5,0.1559,0
35,4,39,0.0,1.0176596823782806e-07,-59354.0,0.5058,0
45,150,195,4.168,8.70702704042205e-18,-55447.9,0.3228,0
10,75,85,0.0,14299953831176.2,-81131.6,0.5567,0
43,0,43,0.0,1.4939759177555988e-05,-76093.1,0.4682,0
76,36,112,1.777,186901675123.73883,-59354.3,0.4917,0
111,78,189,4.264,2.330830205709269e-19,-3844.2,0.1458,0
101,58,159,2.452,4.4283730497666063e-08,-61775.3,0.2771,0
106,19,125,0.0,0.015473701879015919,-43070.2,0.3538,0
44,37,81,8.318,3.8552290894356926e-15,-68769.4,0.1233,0
8,84,92,0.0,0.005623526838673561,-63014.3,0.4383,1
34,54,88,8.458,1.3971772195704453e+19,-52056.9,0.2725,0
82,16,98,0.0,55052187575.9677,-46664.6,0.4925,1
68,32,100,1.672,10577.467554650717,-33216.3,0.4418,0
62,62,124,7.681,676297860459224.6,-43424.8,0.2076,0
105,74,179,4.479,1382364117193679.8,-83695.7,0.2693,0
102,18,120,0.0,817609547732.1047,-35976.5,0.6138,0
88,53,141,3.235,918303.7372352578,-27814.8,0.2242,0
71,59,130,7.188,67.21644506356719,-27760.2,0.1166,0
11,98,109,0.0,5.467331481091721e-14,-24616.5,0.5243,0
9,2,11,0.0,77036129561728.86,-48832.0,0.4135,1
100,14,114,0.0,5.951315203911628e-05,-17512.4,0.4926,0
108,42,150,0.0,1.2060957631628096e+17,-42158.3,0.4724,0
68,116,184,7.77,2.4826533198318075e-09,-30582.0,0.1247,0
35,135,170,3.816,442615857.1798312,-81410.0,0.3764,0
89,93,182,6.6,1.7618704894654416e-13,-69384.0,0.1375,0
13,158,171,0.0,492.593622875051,-43604.4,0.5945,0
1,171,172,0.0,5.451315452766411e-19,-40560.8,0.5535,0
22,117,139,1.707,562022904750.8329,-41738.9,0.4523,0
42,71,113,8.315,62775186272.560196,-82364.2,0.242,0
68,49,117,5.875,7194270.802128393,-40849.1,0.2489,0
74,96,170,8.166,0.000907386924012187,-58942.9,0.0781,0
108,32,140,0.0,8.821520381253016e-20,-52596.4,0.4741,0
32,10,42,0.0,1.8961987006255145e-11,-20810.1,0.3229,0
25,1,26,0.0,10805622.806750055,-80990.6,0.4863,0
41,23,64,4.109,1.3670096431161354e-15,-43946.3,0.2164,0
42,31,73,6.633,2.6688857561767437e-17,-54071.6,0.0928,0
41,12,53,0.0,5.78617595658287,-45324.3,0.3426,0
102,71,173,4.198,9.404812131823537e-08,-7642.9,0.2718,0
87,43,130,0.961,2975552.340426119,-16548.6,0.3997,0
30,115,145,3.523,2.0184192534729044e+18,-63617.7,0.5118,0
55,105,160,7.401,7.363054005125292e-17,-18330.7,0.164,0
17,143,160,0.0,1.2221169827654184e+17,-37817.2,0.5877,0
104,4,108,0.0,3070499282.8919716,-65066.0,0.6384,0
30,148,178,1.644,328155382208.99176,-57927.9,0.5136,0
76,37,113,1.993,2.3559215500344693e-14,-63640.7,0.2505,0
105,84,189,4.696,2.448893339733159,-64373.6,0.1555,0
26,54,80,7.571,2.95507463463845e-14,-42694.0,0.2568,0
60,100,160,8.034,7.711717239036465e-05,-99370.9,0.2561,0
30,157,187,1.498,719254674.5982548,-57227.7,0.4644,0
14,72,86,0.618,1.9629783773902484e+18,-60875.6,0.6114,0
66,24,90,0.0,0.14934050153991257,-31752.5,0.3106,0
65,109,174,8.019,10186633862532.45,-52312.4,0.2052,0
21,24,45,8.65,2.004722822699025e-11,-45162.7,0.0293,0
31,77,108,6.302,114273492836745.1,-37347.6,0.2603,0
31,4,35,0.0,170005684328.1672,-63773.3,0.5625,0
11,177,188,0.0,2.224113829460223e+19,-56741.7,0.6318,0
73,27,100,0.0,1.3520909399834291e-08,-43951.0,0.3566,0
97,3,100,0.0,2.022188063430383e-11,-37478.5,0.5024,0
36,123,159,4.244,83298160332699.22,-32458.4,0.4579,0
63,61,124,7.159,10.475744045659738,-23091.9,0.0378,0
86,4,90,0.0,2.762171100770261e-20,-61530.2,0.3938,0
118,78,196,3.48,3.8707393450711583e-13,-34119.7,0.1572,0
90,108,198,7.771,1.083802619637643e+19,-69882.1,0.2458,0
60,138,198,7.196,8.381142626963977e-17,-53170.6,0.1486,0
52,111,163,7.224,3120923299.7340126,-96053.9,0.247,0
52,41,93,6.926,1.6345095415973716e+18,-45858.1,0.2347,0
1,129,130,0.0,0.0031924563079976176,-36441.5,0.521,0
58,20,78,0.0,2.8441755188874364e-05,-23764.3,0.2707,1
17,86,103,0.963,5.449051064455157,-40800.6,0.4018,0
65,86,151,8.088,2.4642266033722098e-17,-48199.1,0.0937,0
24,151,175,0.0,2.647492152158705e-19,-98678.0,0.477,0
31,109,140,3.807,96.52543083751443,-85572.6,0.3076,0
112,80,192,3.859,6.573415720441313e-09,-37857.4,0.2798,0
66,48,114,5.572,5.890772509589319e-18,-67609.2,0.1722,0
114,9,123,0.0,888316371574.5133,-20887.6,0.6857,0
95,15,110,0.0,1.3299332824182236e-15,-28549.9,0.496,0
55,58,113,7.972,100.85039843126128,-72289.5,0.0774,0
116,29,145,0.0,0.6948859763853246,-39750.0,0.3711,0
39,11,50,0.0,5.715593656869867e+16,-33248.7,0.503,0
21,125,146,0.29,114260957733.46654,-35302.4,0.4882,0
86,21,107,0.0,2.4366299663500784e+19,-51887.4,0.5733,0
79,51,130,4.186,1.7143824731147215,-38272.7,0.2496,0
43,96,139,7.271,2.159841475321902,-38689.8,0.1185,0
29,29,58,8.496,27852326766.706,-31995.4,0.1326,0
16,71,87,1.542,7.364691864468195e-11,-54180.5,0.3629,0
106,88,194,5.801,43593.12576349379,-42106.6,0.158,0
13,136,149,0.0,147.59123448080825,-78997.1,0.4586,0
115,69,184,1.865,763550081.9667224,-91882.4,0.3614,0
37,53,90,8.839,66792217.13118892,-26669.0,0.1369,0
20,16,36,7.459,493197.69271925476,1164.0,0.1166,1
55,131,186,6.48,1.2946680147858094e-18,248.2,0.2116,0
19,158,177,0.0,65558035.804476,-42282.3,0.5719,0
19,175,194,0.0,8.679682632957926e-06,-42777.1,0.4623,0
97,17,114,0.0,1134166023254.9126,-53425.0,0.5896,0
118,44,162,0.0,8.693666390850713e-14,-51265.8,0.5006,0
47,142,189,5.635,2.255890821921464e-05,-56084.5,0.3698,0
116,60,176,0.913,1.534152744596087e+19,-39765.2,0.4263,0
94,69,163,4.244,4.238086384175116e+17,-46594.0,0.3106,0
115,68,183,1.475,47571042802503.02,-39728.0,0.3702,0
74,63,137,6.224,1.675176416499574e-17,-51032.9,0.1344,0
1,23,24,0.0,1514708791.4682899,-62044.2,0.6173,0
60,107,167,7.957,1897606.8992783772,-61468.8,0.1997,0
92,6,98,0.0,7.570977628354604e-11,-54529.6,0.5316,0
80,15,95,0.0,117063708514.12445,-18637.9,0.5372,0
56,106,162,7.479,3.20721547109109e-18,-98484.8,0.2206,0
7,69,76,0.0,255.10991524677627,-48253.4,0.4347,0
57,57,114,7.67,1.5206652277381392e+19,-41080.0,0.1882,0
37,48,85,8.759,21932.639880772746,-50712.8,0.0863,0
50,116,166,6.757,1.0296205406731114e-11,-37340.8,0.1466,1
33,80,113,6.872,465585598379.1087,-95683.0,0.4183,0
110,69,179,3.049,75292050272216.4,-71906.9,0.3442,0
22,111,133,1.249,301631251590801.5,-52833.9,0.6132,0
76,87,163,7.629,301165622681.9845,-56049.3,0.1461,0
99,63,162,3.369,3.9003076288675256e-07,-20852.8,0.2482,0
68,109,177,8.288,14598465661.379301,-69480.7,0.2345,0
14,154,168,0.0,10694987466.931911,-37224.3,0.6666,0
3,43,46,0.0,35.32416609076296,-69468.9,0.5223,0
52,22,74,1.305,105797166645.76646,-27031.1,0.3338,0
92,40,132,0.0,1269.7979898968836,-26237.1,0.4183,0
47,142,189,5.311,2.080620692644827e-14,-32944.5,0.3319,0
7,79,86,0.0,193718135302317.28,-55310.9,0.6325,0
40,128,168,4.863,2020269875.3465943,-56442.8,0.3413,0
94,69,163,5.096,5.131390716369037e+18,-67186.8,0.3802,0
1,62,63,0.0,1017236467.5893712,-50820.3,0.6275,0
3,96,99,0.0,1.4947424349788364e-19,-60042.1,0.5598,0
5,188,193,0.0,5.349583675335921e+16,-70183.2,0.6742,0
11,174,185,0.0,1166048.8588272138,-72192.9,0.5178,0
86,2,88,0.0,5.937418091632779e-11,-29159.6,0.4564,1
34,40,74,9.0,3862353581.994656,-41052.8,0.0855,0
23,175,198,0.0,1769437553125.98,-39730.1,0.5483,0
33,124,157,3.889,11145575.112385405,-26106.5,0.3342,0
28,46,74,8.37,1.2223125783457154e-11,-55178.1,0.0615,1
63,66,129,8.043,58347592.394608565,-88722.3,0.1428,0
63,20,83,0.0,704984048651817.2,-46408.4,0.503,1
77,78,155,7.502,2.579136351491741e-10,-44546.0,0.1177,0
23,90,113,2.689,1.172776667192718e-11,-78560.6,0.3205,0
19,29,48,8.189,1242147490709.5242,-57553.0,0.2204,0
40,87,127,7.3,8.14803555971672e+18,-63928.4,0.3677,0
28,70,98,6.608,71413.42955975661,-9165.1,0.2652,1
19,174,193,0.0,6.454893192010813e-16,-55243.5,0.4849,0
9,63,72,0.0,486.2181838332154,-33400.8,0.4675,0
53,77,130,8.636,4921527606885672.0,-15787.7,0.2679,0
30,11,41,0.725,2052.4538626251583,-64675.8,0.3996,0
20,100,120,1.027,5.679255312275949e-17,-45232.6,0.3904,1
81,97,178,7.873,1442633494633658.5,-36934.3,0.3501,0
47,75,122,8.259,3.1692098180637103e-15,-32489.8,0.086,0
22,20,42,8.019,178773.08049757007,-17200.7,0.1126,1
4,54,58,0.0,2.4013369625563892e-05,-49396.8,0.6172,0
66,90,156,8.101,5543150205.713815,-4182.3,0.1946,0
6,152,158,0.0,3.5831617721016876e-11,-45879.0,0.4021,0
109,39,148,0.0,0.061624090071036544,-75758.9,0.2605,0
49,140,189,5.995,9.547158655036279e-19,-47577.6,0.2761,0
97,89,186,6.31,0.032664664405252085,-79014.2,0.1069,0
106,53,159,0.477,3.0458651498849016e-17,-36573.2,0.2951,0
51,58,109,8.377,1.9791447047277666,-50371.2,0.1405,0
11,146,157,0.0,4.056556913547763e-14,-51744.3,0.582,0
72,71,143,7.13,6882087.49506142,-33170.1,0.0867,0
33,44,77,8.84,1.2138184292311196e-20,-41606.7,0.1369,0
49,83,132,8.277,29080143.12674407,-55370.6,0.1548,0
36,81,117,7.058,96.23792906406153,-66372.3,0.2132,0
115,14,129,0.0,9863489292.533152,-14358.4,0.5066,0
74,65,139,6.802,1.219394967902894,-31728.1,0.1058,0
70,116,186,7.79,1.2535229552803034e+16,-48833.0,0.2346,0
40,1,41,0.0,6.333274417154287e-09,-54162.3,0.6693,0
90,100,190,7.117,8.320162431564902e-16,-89187.8,0.1443,0
23,151,174,0.0,50085621.4508118,-41456.1,0.6204,0
73,52,125,5.165,294916992717171.0,-78193.9,0.3174,0
32,155,187,2.323,9.014563568734286e-17,-40855.4,0.3821,0
33,151,184,2.276,9.596557742661046e-06,-55065.1,0.3311,0
68,55,123,6.523,1.4335443135618951e-05,-92318.4,0.1586,0
113,37,150,0.0,76838625537551.95,-25557.5,0.5117,0
56,64,120,8.221,2.7012319790552704e-15,-41636.3,0.0816,0
107,63,170,2.215,0.0003681365797785953,-82147.2,0.2334,0
15,29,44,7.247,6.5445448910480285e-06,-51017.1,0.1607,0
6,17,23,2.871,11702924133986.127,-52146.0,0.4501,0
109,21,130,0.0,140.75356852181537,-47141.1,0.5479,0
87,50,137,2.974,1.7677705099743955e-06,-39143.5,0.2574,1
113,84,197,3.816,4.536233846132601e+18,-67300.8,0.2503,0
92,62,154,4.415,3.69715836651994e-15,-8518.3,0.1644,0
11,178,189,0.0,1.0461053520325168e-08,-32897.8,0.5683,0
19,164,183,0.0,1708917701.9479327,-48304.3,0.5527,0
101,35,136,0.0,1.375401906093984e-06,-18761.9,0.3683,0
118,10,128,0.0,93.95051739071712,-46772.8,0.4982,0
41,45,86,8.448,5.58337539329296e-17,-36925.8,0.0736,0
55,101,156,8.304,7.902523868090344,-86297.5,0.2579,0
27,81,108,5.778,4531.796262431703,-73370.9,0.2937,0
73,71,144,7.68,144038529247769.1,-26683.9,0.1795,0
96,71,167,4.974,115797.83606507847,-108807.8,0.3202,0
43,66,109,8.318,50268654.558592565,-58199.2,0.1489,0
80,75,155,6.687,2.6803934913255234e-12,-32752.1,0.0843,0
7,66,73,0.0,3271754756.467448,-39699.1,0.5996,0
37,140,177,3.936,2195940.794632591,-34914.2,0.4139,0
66,103,169,8.179,9.20465516130492e-05,-69196.6,0.1827,0
4,157,161,0.0,1206.775761048957,-34308.0,0.5224,0
